Category,Name
PRI,PRI
Grant,Operating support and loan pool funds
Grant,Grant
Grant,Business model improvement and financial sust
Grant,Operating support and strategic business planning
Grant,Continuing operational support
Grant,Operating support
Grant,program/project support
Grant,family planning initiative
Grant,Towards Building a Better CO project
Grant,Program/project (and sustainability)
Grant,program (outreach)
Grant,Program/project
Grant,Recoverable grant towards Quality Innovation Fund Project
Grant,Grant to support a pilot by Mile High Connects